invoice_id,vendor_name,department,invoice_date,due_date,amount_usd,currency,approval_status,payment_status,assigned_approver,days_overdue,invoice_category,priority_level
INV-10049,Tyrell Hardware,Finance,2026-03-18,2026-05-17,240383.94,USD,Approved,On Hold,Alex Patel,36,Logistics,Low
INV-10050,Acme Office Supplies,Customer Support,2026-06-02,2026-07-02,183891.77,USD,Approved,Unpaid,Riley Mendez,0,Professional Services,High
INV-10051,Globex Consulting,Operations,2026-05-13,2026-05-28,45533.25,USD,Under Review,Unpaid,Jamie Hughes,25,Professional Services,Critical
INV-10052,Wayne Marketing Group,Finance,2026-03-24,2026-04-23,29520.07,USD,Rejected,On Hold,Cameron Dubois,60,Travel,High
INV-10053,Pied Piper Hosting,Finance,2026-04-18,2026-05-18,134011.75,USD,Approved,Paid,Logan Walsh,0,Office Supplies,High
INV-10054,Wonka Maintenance,Operations,2026-03-20,2026-05-19,13416.52,EUR,Approved,Paid,Noor Volkov,0,Marketing,Medium
INV-10055,Vandelay Imports,Operations,2026-03-07,2026-03-22,22226.6,USD,Pending,Unpaid,Sasha Larsson,92,Office Supplies,Medium
INV-10056,Tyrell Hardware,Operations,2026-05-07,2026-06-06,43165.6,USD,Approved,Paid,Taylor Patel,0,Travel,Critical
INV-10057,Tyrell Hardware,Customer Support,2026-03-16,2026-04-15,31737.77,USD,Pending,Unpaid,Marlowe Patel,68,Marketing,Low
INV-10058,Nakatomi Property Mgmt,Procurement,2026-04-22,2026-06-21,20993.31,USD,Approved,Unpaid,Quinn Patel,1,Consulting,Low
INV-10059,Stark Industrial Parts,Procurement,2026-06-06,2026-08-05,33895.47,USD,Pending,Unpaid,Devin Mendez,0,Marketing,Medium
INV-10060,Globex Consulting,Operations,2026-05-15,2026-06-14,14985.54,USD,Approved,Paid,Drew Walsh,0,Office Supplies,Low
INV-10061,Tyrell Hardware,Finance,2026-03-02,2026-03-17,23133.1,USD,Approved,Paid,Sasha Foster,0,Consulting,Critical
INV-10062,Cyberdyne Security,IT,2026-06-12,2026-08-11,2863.44,USD,Pending,Unpaid,Morgan Dubois,0,Travel,Critical
INV-10063,Prestige Worldwide Travel,Customer Support,2026-03-12,2026-05-11,25725.41,USD,Approved,Partially Paid,Drew Volkov,42,Professional Services,Critical
INV-10064,Northwind Logistics,Customer Support,2026-03-19,2026-04-03,10379.66,USD,Pending,Unpaid,Taylor Murphy,80,Software,Low
INV-10065,Wonka Maintenance,IT,2026-03-25,2026-05-24,1841.19,USD,Approved,Partially Paid,Avery Nguyen,29,Professional Services,Low
INV-10066,Stark Industrial Parts,IT,2026-06-07,2026-08-06,7513.23,USD,Approved,Paid,Emerson Park,0,Professional Services,High
INV-10067,Hooli Analytics,IT,2026-06-06,2026-07-21,34362.02,GBP,Approved,Paid,Jordan Ibrahim,0,Utilities,Low
INV-10068,Prestige Worldwide Travel,Procurement,2026-06-18,2026-07-03,33122.05,EUR,Pending,Unpaid,Quinn Volkov,0,Software,High
INV-10069,Umbrella Facilities,IT,2026-04-16,2026-05-31,9097.6,USD,Pending,Unpaid,Cameron Ibrahim,22,Utilities,Low
INV-10070,Vandelay Imports,HR,2026-06-08,2026-07-08,34066.59,USD,Rejected,On Hold,Parker Bennett,0,Hardware,High
INV-10071,BlueSky Cloud Services,Procurement,2026-05-20,2026-06-19,204509.59,EUR,Under Review,Unpaid,Logan Ibrahim,3,Software,High
INV-10072,Stark Industrial Parts,Customer Support,2026-05-06,2026-07-05,30738.68,USD,Approved,Paid,Logan Walsh,0,Hardware,Critical
INV-10073,Globex Consulting,Finance,2026-04-02,2026-06-01,34851.91,USD,Approved,Paid,Morgan Tanaka,0,Consulting,Low
INV-10074,Initech Software,IT,2026-02-22,2026-03-24,13579.46,EUR,Rejected,On Hold,Parker Reyes,90,Travel,Low
INV-10075,Stark Industrial Parts,Customer Support,2026-04-17,2026-05-17,13717.06,USD,Approved,Partially Paid,Alex Okafor,36,Marketing,Medium
INV-10076,Nakatomi Property Mgmt,Customer Support,2026-03-29,2026-05-13,22019.19,USD,Approved,Unpaid,Sam Sullivan,40,Logistics,Medium
INV-10077,Nakatomi Property Mgmt,IT,2026-05-23,2026-07-07,198941.03,USD,Under Review,Unpaid,Blair Reyes,0,Hardware,Medium
INV-10078,Northwind Logistics,Operations,2026-04-18,2026-06-17,5142.77,EUR,Approved,Partially Paid,Casey Ibrahim,5,Office Supplies,Low
INV-10079,BlueSky Cloud Services,IT,2026-03-13,2026-04-12,34019.35,USD,Under Review,On Hold,Reese Larsson,71,Hardware,High
INV-10080,Oscorp Materials,Finance,2026-04-03,2026-04-18,33614.48,USD,Approved,Paid,Blair Walsh,0,Consulting,Critical
INV-10081,Gekko Financial Tools,Operations,2026-03-25,2026-04-24,2492.06,USD,Approved,Paid,Devin Ibrahim,0,Professional Services,Low
INV-10082,Umbrella Facilities,Operations,2026-05-30,2026-06-14,18899.03,USD,Approved,Paid,Blair Nguyen,0,Hardware,Low
INV-10083,Soylent Catering,HR,2026-06-20,2026-08-04,33283.53,USD,Approved,Paid,Blair Ibrahim,0,Marketing,Medium
INV-10084,Gekko Financial Tools,Procurement,2026-05-27,2026-07-11,5449.35,USD,Approved,Paid,Alex Schmidt,0,Travel,Medium
INV-10085,Soylent Catering,Finance,2026-04-10,2026-04-25,36577.14,EUR,Under Review,On Hold,Cameron Patel,58,Logistics,Low
INV-10086,Prestige Worldwide Travel,Procurement,2026-03-27,2026-04-26,44290.93,USD,Approved,Paid,Noor Reyes,0,Consulting,Medium
INV-10087,Hooli Analytics,Procurement,2026-03-18,2026-05-02,6692.79,USD,Rejected,On Hold,Quinn Murphy,51,Marketing,Medium
INV-10088,Tyrell Hardware,Procurement,2026-03-18,2026-04-17,23081.16,USD,Pending,Unpaid,Hayden Kowalski,66,Facilities,Medium
INV-10089,Pied Piper Hosting,Finance,2026-03-12,2026-04-26,157314.46,USD,Pending,Unpaid,Blair Ferreira,57,Consulting,Medium
INV-10090,Wayne Marketing Group,IT,2026-06-18,2026-08-17,27618.61,EUR,Approved,Paid,Marlowe Okafor,0,Travel,High
INV-10091,Globex Consulting,Operations,2026-06-16,2026-07-01,24265.45,USD,Under Review,Unpaid,Hayden Park,0,Facilities,Medium
INV-10092,Wonka Maintenance,Customer Support,2026-03-18,2026-04-17,32177.44,EUR,Pending,Partially Paid,Marlowe Ferreira,66,Logistics,Low
INV-10093,Gekko Financial Tools,IT,2026-05-22,2026-06-21,187136.05,USD,Rejected,On Hold,Reese Nguyen,1,Logistics,Medium
INV-10094,Globex Consulting,IT,2026-06-10,2026-07-10,29360.87,USD,Pending,Unpaid,Rowan Sullivan,0,Consulting,Low
INV-10095,Oscorp Materials,Operations,2026-04-07,2026-05-07,11608.69,USD,Pending,Unpaid,Casey Reyes,46,Facilities,Low
INV-10096,Soylent Catering,Operations,2026-06-07,2026-06-22,121648.46,USD,Pending,Unpaid,Casey Park,0,Travel,Low
INV-10097,Massive Dynamic Labs,Finance,2026-03-18,2026-04-02,38178.33,USD,Approved,Paid,Jordan Park,0,Facilities,Critical
INV-10098,Hooli Analytics,IT,2026-03-31,2026-04-15,145796.38,USD,Pending,Unpaid,Taylor Hughes,68,Utilities,Critical
INV-10099,Prestige Worldwide Travel,Operations,2026-06-13,2026-07-13,31112.49,USD,Approved,On Hold,Logan Andersen,0,Professional Services,Medium
INV-10100,Wonka Maintenance,Finance,2026-03-12,2026-03-27,31982.19,USD,Pending,Unpaid,Avery Ibrahim,87,Utilities,Medium
INV-10101,Gekko Financial Tools,IT,2026-04-29,2026-05-14,15485.52,USD,Rejected,On Hold,Sasha Hughes,39,Consulting,Medium
INV-10102,BlueSky Cloud Services,Finance,2026-04-27,2026-05-12,18416.53,USD,Approved,On Hold,Hayden Foster,41,Travel,Medium
INV-10103,Pied Piper Hosting,HR,2026-03-17,2026-05-01,35401.71,GBP,Pending,Unpaid,Jamie Reyes,52,Hardware,Medium
INV-10104,Wayne Marketing Group,Finance,2026-05-08,2026-07-07,37427.02,USD,Under Review,On Hold,Emerson Mendez,0,Facilities,Critical
INV-10105,Acme Office Supplies,Customer Support,2026-02-23,2026-03-25,104654.08,USD,Rejected,On Hold,Riley Reyes,89,Professional Services,Medium
INV-10106,Cyberdyne Security,Finance,2026-06-03,2026-06-18,156096.54,USD,Approved,Paid,Sam Volkov,0,Professional Services,Medium
INV-10107,BlueSky Cloud Services,Finance,2026-06-02,2026-07-02,2675.92,USD,Approved,Paid,Harper Nguyen,0,Logistics,Medium
INV-10108,Massive Dynamic Labs,Finance,2026-05-08,2026-06-22,185643.58,USD,Approved,Paid,Emerson Bennett,0,Software,Low
INV-10109,Stark Industrial Parts,Procurement,2026-05-25,2026-06-24,155392.16,USD,Pending,Unpaid,Parker Walsh,0,Logistics,High
INV-10110,Massive Dynamic Labs,Customer Support,2026-03-07,2026-04-06,222352.87,USD,Approved,Partially Paid,Rowan Ibrahim,77,Professional Services,High
INV-10111,Cyberdyne Security,HR,2026-04-01,2026-05-16,19995.32,GBP,Approved,Partially Paid,Marlowe Ferreira,37,Consulting,Medium
INV-10112,Wonka Maintenance,Finance,2026-05-21,2026-07-05,25793.17,USD,Approved,Paid,Riley Hughes,0,Facilities,Medium
INV-10113,Globex Consulting,Customer Support,2026-04-17,2026-05-17,17282.04,USD,Under Review,On Hold,Casey Nguyen,36,Logistics,Low
INV-10114,Umbrella Facilities,Customer Support,2026-06-02,2026-06-17,37926.34,USD,Pending,On Hold,Rowan Haddad,5,Professional Services,Medium
INV-10115,Vandelay Imports,HR,2026-05-12,2026-06-11,23109.9,USD,Pending,Unpaid,Taylor Okafor,11,Hardware,Medium
INV-10116,Gekko Financial Tools,Finance,2026-06-14,2026-07-14,3990.64,EUR,Under Review,Unpaid,Logan Volkov,0,Facilities,Medium
INV-10117,Northwind Logistics,IT,2026-02-25,2026-04-26,15924.43,USD,Approved,Paid,Sam Walsh,0,Consulting,Low
INV-10118,Massive Dynamic Labs,HR,2026-05-30,2026-06-14,21590.72,USD,Approved,Paid,Drew Kowalski,0,Travel,Medium
INV-10119,Vandelay Imports,HR,2026-04-06,2026-04-21,31806.14,USD,Approved,Unpaid,Noor Schmidt,62,Professional Services,Low
INV-10120,Initech Software,Procurement,2026-06-11,2026-08-10,44941.39,USD,Pending,Unpaid,Marlowe Hughes,0,Marketing,Low
INV-10121,Oscorp Materials,IT,2026-03-31,2026-04-30,32918.17,EUR,Pending,Unpaid,Blair Schmidt,53,Travel,Medium
INV-10122,Massive Dynamic Labs,Procurement,2026-06-19,2026-07-19,46619.5,USD,Pending,Unpaid,Casey Hughes,0,Marketing,Critical
INV-10123,Globex Consulting,Customer Support,2026-03-15,2026-05-14,43329.51,USD,Approved,Unpaid,Reese Reyes,39,Office Supplies,Low
INV-10124,Umbrella Facilities,HR,2026-03-15,2026-05-14,8320.03,USD,Approved,Unpaid,Logan Mendez,39,Marketing,Low
INV-10125,Gekko Financial Tools,Operations,2026-04-14,2026-05-14,39670.41,USD,Under Review,Unpaid,Logan Tanaka,39,Marketing,Critical
INV-10126,Cyberdyne Security,Customer Support,2026-04-15,2026-05-30,40073.45,EUR,Approved,Paid,Cameron Dubois,0,Consulting,Medium
INV-10127,Massive Dynamic Labs,Finance,2026-05-16,2026-05-31,13548.58,EUR,Approved,Paid,Avery Tanaka,0,Utilities,Critical
INV-10128,Acme Office Supplies,IT,2026-06-15,2026-07-30,11744.18,GBP,Approved,Paid,Marlowe Haddad,0,Utilities,Critical
INV-10129,Initech Software,Operations,2026-06-17,2026-07-17,23282.18,EUR,Pending,Unpaid,Taylor Carter,0,Marketing,Medium
INV-10130,Stark Industrial Parts,Operations,2026-04-12,2026-06-11,5670.36,USD,Approved,Paid,Emerson Tanaka,0,Consulting,Medium
INV-10131,Globex Consulting,IT,2026-04-06,2026-06-05,153075.15,USD,Approved,Paid,Avery Volkov,0,Travel,Medium
INV-10132,Umbrella Facilities,HR,2026-03-28,2026-04-12,17829.43,GBP,Approved,Unpaid,Alex Kowalski,71,Hardware,Medium
INV-10133,Northwind Logistics,HR,2026-05-03,2026-06-02,1041.81,USD,Approved,Unpaid,Rowan Park,20,Utilities,Medium
INV-10134,Initech Software,Finance,2026-05-07,2026-07-06,31586.29,EUR,Pending,Partially Paid,Riley Reyes,0,Consulting,Medium
INV-10135,Gekko Financial Tools,Finance,2026-05-15,2026-06-14,89893.97,USD,Rejected,On Hold,Parker Rossi,8,Marketing,Medium
INV-10136,Northwind Logistics,HR,2026-05-28,2026-06-27,38316.03,EUR,Approved,Paid,Reese Park,0,Hardware,Medium
INV-10137,Cyberdyne Security,Procurement,2026-05-29,2026-07-13,18158.16,USD,Approved,Paid,Harper Mendez,0,Office Supplies,Medium
INV-10138,Oscorp Materials,Procurement,2026-05-11,2026-05-26,182183.84,USD,Pending,Unpaid,Cameron Tanaka,27,Software,Medium
INV-10139,Pied Piper Hosting,Customer Support,2026-04-27,2026-05-27,38834.54,USD,Pending,Unpaid,Noor Schmidt,26,Office Supplies,Medium
INV-10140,Acme Office Supplies,Operations,2026-03-05,2026-05-04,21610.93,USD,Approved,Unpaid,Rowan Bennett,49,Professional Services,Medium
INV-10141,Initech Software,HR,2026-04-25,2026-05-25,37450.37,USD,Approved,Paid,Avery Foster,0,Software,Medium
INV-10142,Umbrella Facilities,IT,2026-04-16,2026-05-31,5990.85,USD,Pending,Unpaid,Marlowe Rossi,22,Logistics,Medium
INV-10143,Globex Consulting,Operations,2026-03-04,2026-03-19,44060.6,USD,Approved,Unpaid,Sam Schmidt,95,Utilities,High
INV-10144,BlueSky Cloud Services,Customer Support,2026-04-13,2026-05-13,41753.9,USD,Rejected,On Hold,Cameron Andersen,40,Logistics,Medium
INV-10145,Globex Consulting,Operations,2026-03-12,2026-04-11,24333.57,USD,Pending,Unpaid,Casey Mendez,72,Consulting,Critical
INV-10146,BlueSky Cloud Services,Procurement,2026-05-02,2026-06-16,37746.77,EUR,Approved,On Hold,Logan Tanaka,6,Facilities,Medium
INV-10147,Pied Piper Hosting,Operations,2026-03-01,2026-04-30,104371.49,GBP,Pending,Unpaid,Morgan Andersen,53,Office Supplies,High
INV-10148,Hooli Analytics,Operations,2026-06-01,2026-07-01,11241.68,GBP,Approved,Paid,Jamie Haddad,0,Facilities,Low
INV-10149,Soylent Catering,Operations,2026-04-02,2026-05-02,4804.63,USD,Pending,Unpaid,Emerson Park,51,Professional Services,Low
INV-10150,Vandelay Imports,Customer Support,2026-06-16,2026-07-01,239709.37,USD,Approved,Paid,Emerson Haddad,0,Software,Medium
INV-10151,Tyrell Hardware,HR,2026-04-13,2026-05-13,14977.09,USD,Under Review,Unpaid,Marlowe Bennett,40,Office Supplies,Medium
INV-10152,Gekko Financial Tools,IT,2026-04-21,2026-06-05,29824.69,USD,Pending,On Hold,Reese Reyes,17,Utilities,High
INV-10153,Massive Dynamic Labs,Customer Support,2026-06-08,2026-07-08,6222.94,USD,Approved,Paid,Emerson Ibrahim,0,Logistics,Critical
INV-10154,Umbrella Facilities,Procurement,2026-02-22,2026-04-23,9504.41,USD,Rejected,On Hold,Drew Rossi,60,Software,Medium
INV-10155,BlueSky Cloud Services,IT,2026-04-18,2026-06-02,81872.85,USD,Pending,Unpaid,Blair Schmidt,0,Hardware,High
INV-10156,Hooli Analytics,Customer Support,2026-06-20,2026-07-05,43269.72,USD,Pending,Unpaid,Rowan Dubois,0,Logistics,Medium
INV-10157,Pied Piper Hosting,Customer Support,2026-05-16,2026-05-31,22204.78,USD,Under Review,Unpaid,Casey Foster,22,Travel,Medium
INV-10158,Pied Piper Hosting,Procurement,2026-04-11,2026-05-11,9954.07,USD,Approved,Paid,Sam Rossi,0,Facilities,Low
INV-10159,Gekko Financial Tools,Operations,2026-04-05,2026-06-04,236273.75,USD,Approved,Unpaid,Rowan Larsson,18,Facilities,High
INV-10160,Massive Dynamic Labs,Customer Support,2026-04-20,2026-06-19,40017.76,USD,Pending,Partially Paid,Noor Walsh,3,Software,Medium
INV-10161,Prestige Worldwide Travel,IT,2026-05-19,2026-07-18,35418.26,USD,Approved,Unpaid,Reese Reyes,0,Logistics,Medium
INV-10162,Northwind Logistics,Customer Support,2026-03-24,2026-04-08,21750.63,USD,Approved,Paid,Emerson Rossi,0,Software,Medium
INV-10163,Initech Software,Customer Support,2026-05-26,2026-07-25,32533.56,USD,Approved,Paid,Sam Dubois,0,Utilities,Critical
INV-10164,Soylent Catering,Customer Support,2026-04-21,2026-05-21,13851.56,USD,Rejected,On Hold,Drew Walsh,32,Logistics,Critical
INV-10165,Tyrell Hardware,Procurement,2026-04-21,2026-05-21,45806.16,USD,Approved,Paid,Reese Ferreira,0,Office Supplies,Medium
INV-10166,Hooli Analytics,Finance,2026-05-16,2026-05-31,21815.84,USD,Approved,Paid,Parker Walsh,0,Marketing,Medium
INV-10167,Initech Software,Finance,2026-04-04,2026-06-03,2724.81,EUR,Approved,Paid,Sam Walsh,0,Hardware,Low
INV-10168,Globex Consulting,HR,2026-03-15,2026-04-14,160070.51,GBP,Approved,Partially Paid,Sasha Haddad,69,Logistics,High
INV-10169,Hooli Analytics,Procurement,2026-05-16,2026-05-31,4611.21,USD,Approved,Unpaid,Riley Ibrahim,22,Office Supplies,Critical
INV-10170,Northwind Logistics,IT,2026-03-13,2026-04-27,36763.91,EUR,Approved,Paid,Emerson Foster,0,Utilities,Low
INV-10171,Hooli Analytics,IT,2026-03-31,2026-05-30,43601.42,USD,Approved,Paid,Sam Murphy,0,Hardware,High
INV-10172,Soylent Catering,HR,2026-05-29,2026-06-13,38799.92,USD,Pending,Unpaid,Reese Ibrahim,9,Facilities,High
INV-10173,Vandelay Imports,Finance,2026-05-01,2026-05-16,7104.83,USD,Approved,Paid,Quinn Larsson,0,Marketing,Low
INV-10174,Nakatomi Property Mgmt,HR,2026-04-09,2026-04-24,17778.16,USD,Pending,Unpaid,Hayden Andersen,59,Marketing,Low
INV-10175,Globex Consulting,HR,2026-02-24,2026-03-26,11016.4,GBP,Approved,Paid,Cameron Ibrahim,0,Facilities,Critical
INV-10176,Tyrell Hardware,Customer Support,2026-03-11,2026-04-10,33416.67,USD,Pending,Unpaid,Cameron Hughes,73,Professional Services,Medium
INV-10177,Globex Consulting,Finance,2026-03-07,2026-05-06,10105.14,USD,Approved,Partially Paid,Hayden Sullivan,47,Professional Services,Medium
INV-10178,Tyrell Hardware,Finance,2026-02-26,2026-04-27,2962.25,USD,Approved,Paid,Hayden Okafor,0,Software,Medium
INV-10179,Cyberdyne Security,Procurement,2026-03-09,2026-03-24,28442.67,USD,Approved,Paid,Taylor Rossi,0,Software,Critical
INV-10180,Hooli Analytics,IT,2026-05-29,2026-06-28,47943.75,USD,Approved,On Hold,Reese Kowalski,0,Consulting,Medium
INV-10181,Oscorp Materials,Operations,2026-03-30,2026-04-29,248569.36,USD,Approved,On Hold,Alex Okafor,54,Hardware,High
INV-10182,Oscorp Materials,IT,2026-04-14,2026-05-29,12316.21,USD,Approved,Partially Paid,Morgan Bennett,24,Travel,High
INV-10183,Prestige Worldwide Travel,Finance,2026-05-22,2026-06-21,168788.83,USD,Pending,On Hold,Jordan Kowalski,1,Hardware,Low
INV-10184,Wayne Marketing Group,Customer Support,2026-05-25,2026-06-09,248696.69,USD,Under Review,Unpaid,Hayden Larsson,13,Logistics,Medium
INV-10185,Hooli Analytics,Operations,2026-03-29,2026-05-28,14899.42,USD,Rejected,On Hold,Riley Haddad,25,Travel,High
INV-10186,Oscorp Materials,IT,2026-06-15,2026-07-15,32977.95,USD,Approved,Paid,Reese Murphy,0,Facilities,Low
INV-10187,Tyrell Hardware,Operations,2026-03-05,2026-04-04,34744.37,EUR,Under Review,Unpaid,Parker Andersen,79,Office Supplies,Critical
INV-10188,Cyberdyne Security,Operations,2026-05-20,2026-06-19,4104.68,USD,Approved,Paid,Jordan Nguyen,0,Travel,High
INV-10189,Prestige Worldwide Travel,Customer Support,2026-06-16,2026-07-01,37382.7,USD,Pending,Unpaid,Sam Okafor,0,Software,High
INV-10190,Stark Industrial Parts,Operations,2026-03-19,2026-04-03,37023.62,EUR,Pending,On Hold,Avery Dubois,80,Utilities,Medium
INV-10191,Hooli Analytics,IT,2026-04-23,2026-06-22,15285.59,USD,Under Review,Unpaid,Noor Rossi,0,Utilities,High
INV-10192,Stark Industrial Parts,Procurement,2026-05-12,2026-06-26,222816.97,USD,Approved,Paid,Noor Ibrahim,0,Marketing,Medium
INV-10193,Initech Software,Operations,2026-05-10,2026-06-09,40876.43,USD,Pending,Unpaid,Sasha Park,13,Hardware,Low
INV-10194,Gekko Financial Tools,Operations,2026-03-20,2026-04-19,35365.28,USD,Under Review,Unpaid,Jordan Andersen,64,Software,Medium
INV-10195,BlueSky Cloud Services,HR,2026-06-15,2026-06-30,41324.05,USD,Pending,Unpaid,Cameron Bennett,0,Professional Services,Medium
